S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
13,Dr. Liaquat,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,PhD,,Germany,,"DBMS, Data Mining",
14,Ms.Tayyaba Noreen,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,M.Com,,,,"Enterpreneurship, Financial Accounting",On Leave
15,Mr. Muhammad Raza,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,MCS,,,,"Networking, .Net, Operating System",On Leave
16,Engr. Anwar Ali Sanjrani,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,B.E,,,,"Artificial Intelligence, Operating System",
17,Ms. Shafaque Saira Malik,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,MCS,,,,Assembly Language,
18,Mr. Imran Ali,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,MCS,,,,Software Engineering,On Leave
19,Mr. Muhammad Sajid,University of Balochistan,Computer Science & IT,Balochistan,Lab Administrator,MPhil,,,,,
20,Mr. Imam Dad,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,BS,,,,,
21,Ms. Fatima Tariq,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,,,,,,
22,Mr. Muhammad Saeed Hussain,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,,,,,,
23,Mr. Muhammad Asfand Yar Khan,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,,,,,,
24,Mr. Azam Khan,University of Balochistan,Computer Science & IT,Balochistan,Lecturer,,,,,,
25,Samina Azim,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,"Balochistan University of Information Technology, Engineering and Management Sciences",Pakistan,2005,VLSI Electronics DLD Database,
26,Nausheed Saeed,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,MCS,University of Balochistan,Pakistan,2008,"Software Engineering, Computer Networks.",
27,Shumaila Hussain,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,MS,"Balochistan University of Information Technology, Engineering and Management Sciences",Pakistan,2011,"Human computer Interaction, Web Development, Software Engineering, Networking",
28,Mirfa Manzoor,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009,"Human Computer Interaction, Web",
29,Saira Mujahid,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009,JAVA Programming,
30,Arifa Anwar,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009,Programming,
31,Dr. Engr. Jan Muhammad ,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Associate Professor,,,,,,
32,Dr. Zahid Rauf,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Associate Professor,,,,,,
33,Engr. Shahrukh Rayaz ,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
34,Siraj un Muneer,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
35,Engr. Hamid Karim,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
36,Engr. Mohammad Junaid,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
37,Engr. Sara Ayub,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
38,Engr. Arsalan ul Haq,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
39,Engr. Muhammad Aadil Siddiqui,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
40,Engr. Muhammad Arif,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
41,Abdul Rehman,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
42,Engr. Raza Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
43,Muhammad Junaid Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
44,Amir Shahzad,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
45,Engr. Zubair Zaland,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
46,Atiya Shoaib,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
47,Sadaf Riaz,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
48,Engr. Adil Israr,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
49,Engr. Saeed Ahmed Magsi,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
50,Engr. Saeed Ahmed Magsi,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
51,Engr. Atifullah Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
52,Engr. Paend Bakht,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Assistant Professor,,,,,,
53,Engr. Waheeda Jabbar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
54,Irfan Ahmed Magsi,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
55,Engr. Muhammad Bux,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
56,Engr. Akbar Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
57,Engr. Malgharara Kakar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
58,Masooma Meer,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
59,Engr. Muhammad Shoaib Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
60,Engr. Kalsoom Baloch,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
61,Engr. Adnan Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
62,Engr. Shafiullah,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
63,Engr. Mohammad Zia Javed,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
64,Engr. Mohammad Waleed Raza,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
65,Fazal Mohammad,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
66,Ayesha Abdul Majeed,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
67,Syed Mohammad Junaid Hassan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
68,Abdullah Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
69,Syed Umair Shah,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
70,Yahya Jan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
71,Mohammad Luqman Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
72,Rabia Athar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
73,Syed Shah Zaman,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
74,Mohammad Shakeel,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
75,Waleed Hasni,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
76,Engr. Syed Usman,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
77,Ayesha Iftikhar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
78,Engr. Mehrullah Soomroo,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
79,Engr. Taqia Manzoor,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
80,Kanza Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
81,Pooma Panezai,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
82,Engr. Muhammad Ayub,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
83,Engr. Muzamil Hussain,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
84,Engr. Shiekh Mir Ahmed,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
85,Engr. Rabia Qadar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
86,Engr. Ishtiaq Ahmed,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
87,Engr. Attiq Ur Rehman,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
88,Engr. Syed Owais Athar,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
89,Mohammad Imran,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
90,Babar Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
91,Lubna Ayub,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
92,Muhammad Akram,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
93,Ayesha Enayat,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
94,Azam Khan,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
95,Abdul Ali,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
96,Mohammad rahim Shah,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
97,Syed Asad Ullah,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
98,Muhammad Anas,"Balochistan University of Information Technology, Engineering and Management Sciences",Computer Science,Balochistan,Lecturer,,,,,,
99,Khawar Abbas,University of Loralai,Computer Science,Balochistan,Lecturer,MS,,,,,
100,Masood Ahmed,University of Loralai,Computer Science,Balochistan,Lecturer,MS,,,,,
101,Najeebullah Shah,University of Loralai,Computer Science,Balochistan,Lecturer,MS,,,,,
102,Mazhar Mohsin,University of Turbat,Computer Science,Balochistan,Assistant Professor,MS,Asian Institute of Technology,Thailand,,"Object Detection, Object Tracking, Pattern Recognition, Human Computer Interaction, Software Engineering, Data Structures and Algorithms, Object Oriented Programming",
103,Mukhtar Hussain,University of Turbat,Computer Science,Balochistan,Lecturer,MS,SRH Hochschule Heidelberg,Germany,,"Semantic Web, Machine Learning",
104,Rashid Ali,University of Turbat,Computer Science,Balochistan,Lecturer,,,,,,
105,Shamsa Aziz,University of Turbat,Computer Science,Balochistan,Lecturer,MS,"Institute of Business Administration,Karachi",Pakistan,,Semantic Web,
106,Abdul Hakeem,University of Turbat,Computer Science,Balochistan,Lecturer,MS,,,,Networking,
107,Bilal-ur-Rehman,University of Turbat,Computer Science,Balochistan,Lecturer,BE,"DUET,Karachi",Pakistan,,"Computer Graphics, Digital Logic Design, Software Engineering, Operating Systems, Artificial Intelligence",
108,Balach Khan,University of Turbat,Computer Science,Balochistan,Lecturer,BS,University of Balochistan,Pakistan,,"Data Structures & Algorithms, Programming",
109,Pari Naz,University of Turbat,Computer Science,Balochistan,Lecturer,BS,University of Turbat,Pakistan,,"Software Engineering, Theory of Automata and Formal Languages",
110,Maqsood Karim,University of Turbat,Computer Science,Balochistan,Lecturer,BS,,,,"Database, Web Development",
111,Majid Iqbal Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Head of Department,PhD,University of Vienna,Austria,2009,"wireless sensor networks, MANETS and internet of things",
112,Sohail Asghar,"COMSATS, Islamabad Campus",Computer Science,Capital,Professor,PhD,Monash University,Australia,2006,"Machine Learning and Data mining, decision support system and business intelligence, big data analytics, outcome based education",
113,Zulqarnain Jaffery,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
114,Ikram ul Haq,"COMSATS, Islamabad Campus",Computer Science,Capital,Advisor,,,,,,
115,Muaz A. Niazi,"COMSATS, Islamabad Campus",Computer Science,Capital,Chief Scientific Officer,Phd,University of Stirling,UK,,"Complex Communication Networks such as Internet of Things, Online social networks, Wireless Sensor networks etc. Biological Networks Modeling and Simulation, Agent-based Computing.",
116,Muhammad Manzoor ilahi Tamimy,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Chinese Academy of Sciences,China,,"Mining Data Streams, Ubiquitous Data Mining, Intrusion Detection, Distributed Data Mining, Machine learning and data mining, Real-Time system; Publish/Subscribe system; Wireless Sensor Networks, Active databases ECA Rules",
117,Nasro Min-allah,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Chinese Academy of Sciences,China,2008,"software pipelining, chromatic scheduling, reliable computing and real-time systems",
118,M. Masoom Alam,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,University of Innsbruck,Austria,2007,system administration and research and development,
119,Sajjad A. Madani,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Vienna University of Technology,Austria,,,
120,Nadeem Javaid,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,University of Paris-Est,France,2010,"Wireless Ad-hoc, Sensor, Vehicular and Body Area Networks",
121,Khalid Latif,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,,,,,Semantic Web and Information Retrieval.,
122,Muhammad Asim Noor,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
123,Naveed Ahmad,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Cambridge,UK,,"modelling and simulating change/business processes, software engineering for mobile applications.",
124,Mansoor Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,Vienna University of Technology,Austria,," Information security & privacy, Distributed Computing, Knowledge-Based Systems, Data provenance and Semantic Web Technologies. ",
125,Abid Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,Harbin Institute of Technology,China,,"security & privacy of cloud computing(outsourced storage & computation), security protocols, Digital watermarking, Secure Provenance",
126,Iftikhar Azim Niaz,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,,,,,
127,Sheikh Ziauddin,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PostDoc,"University of Nice, Sophia Antipolis",France,,"Image processing, computer vision, information security",
128,Amir Hanif Dar,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
129,Ahmad R. Shahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,The University of York,UK,," Natural Language Processing (NLP), which falls under the broader category of Artificial Intelligence. Dr. Shahid is interested in building multilingual, bilingual and monolingual resources using supervised and unsupervised learning approaches. He is also interested in applications of Machine Learning approaches.",
130,Yasir Faheem,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Galilée - Université Paris 13,France,2012,"Routing, medium access control, resource allocation and security related issues in: Internet of Things, cloud computing, Wireless Ad hoc Networks (Sensor networks, vehicular networks, cognitive radio networks, delay tolerant networks) & smart grids. Moreover, I am interested in applications of algorithmic game theory to various problems in wireless networks and global software development.",
131,Munam Ali Shah,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,University of Bedfordshire,UK,2014," MAC protocol design, Internet of Things, and security issues in wireless communication systems",
132,Malik Ahmad Kamran,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Vienna University of Technology,Austria,2011,"Collaborative systems, Social Network Analysis, Information privacy, and Access Control",
133,Aimal Tariq Rextin,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,,,,"algorithms, graph theory, visualization and Human Computer Interaction",
134,Adeel ANJUM,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,,,2013,data privacy using artificial intelligence techniques.,
135,Basit Raza,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
136,Saif Ur Rehman Malik,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,North Dakota State University,USA,," Formal Methods (verification, modeling, and analysis) of Large Scale Systems, such as Cloud Computing System",
137,Abdul Wahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Kyungpook National University,South Korea,,"Vehicular Ad-hoc Network, Wireless Sensor Network, Underwater Wireless Sensor Network, Cyber Physical Systems, Software defined Networking, Information-centric Networking.",
138,Farhana Jabeen,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Manchester,UK,2011,"query processing in wireless sensor network, distributed spatial analysis, distributed computing using ad hoc wireless networks.",
139,Zara Hamid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,,Wireless Sensor Networks. She is interested in the design and performance evaluation of communication protocols for wireless ad hoc and sensor networks. She is also interested in Information Centric Networks.,
140,Inayat-ur-Rehman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,,,," Computer Assisted Education, Designing learning tools, Computer Animations for Learning, Role of Human Computer in designing learning tools, cognitive learning and use of Educational Psychology for e-learning applications",
141,Mukhtar Azeem,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,Embedded System Programming and Real-time Systems,
142,Omer Vikas,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,"Artificial Intelligence, Information System Management and E-Commerce.",
143,Salman Aslam,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
144,Umar Nauman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Artificial Intelligence, Data Mining, Machine Learning, Software Engineering, Requirement Engineering.",
145,Ghufran Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,Capital University of Science & Technology,Pakistan,2013,routing issues on Wireless Sensor Networks or Wireless Body Area Networks.,
146,Ch.Anwar Shaukat,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
147,Azfar Shakeel,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,2011, Computer Security and Application of Cellular Automata.,
148,Muzaffar Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Masters,Gomal University,Pakistan,,"Object Oriented Programming, Visual Programming, Software Project Management and Model Transformation.",
149,Muhammad Rashid Mukhtar,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,Software Project Management and Software Engineering.,
150,Assad Abbas,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,North Dakota State University,USA,2016,"Smart Health, Big Data Analytics, Recommendation Systems, Patent Analysis, and Social Network Analysis",
151,Javed Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,,"Software Process Improvement, Requirements Engineering & Software Development Outsourcing ",
152,Azra Shamim,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
153,Tahir Mustafa Madni,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,KTH Royal Institute of Technology,Sweden,," interactive systems, human computer interaction, ubiquitous computing and multimodal interfaces.",
154,Zeeshan Mehta,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
155,Shahid Hussain,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
156,Muzafar Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,University of Technology,Malaysia,,n HCI in general and usability evaluation / user experience ,
157,Qasim Arshad Choudhry,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
158,Ms.Rubina Adnan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
159,Ms. Zaineb Suleman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
160,Rizwana Irfa,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
161,Mubeen Ghafoor,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
162,Muhammad Imran,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
163,Mariam Akbar,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,COMSATS Institute of Information Technology,Pakistan,2016,Underwater Wireless Sensor Networks and Energy Management.,
164,Zobia Rehman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,Knowledge Management and Natural Language Processing.,
165,Mr. Tanveer Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,Government College University,Pakistan,2003," Natural Language Processing, Machine Learning, and Text Mining.",
166,Adnan Akhunzada,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,," Secure & Dependable Software Defined Networks, Man-at-the-End Attacks Plus Human Attacker Attribution & Profiling, Large Scale Distributed Systems (Fog, Edge, and Cloud Computing (CC), Mobile Cloud Computing (MCC) etc.), Remote Data Auditing, Light Weight Cryptography, Blockchain and Cryptocurrency.",
167,Tehseen Zia,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
168,Hasan Ali Khattak,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
169,Saif ul Islam,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
170,Saif ur Rehman Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Software Testing, Object Oriented Analysis and Design, and Formal Methods",
171,Aamir Shabbir Parre,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
172,Atique Ahmad Zafar,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
173,Saleem Raza,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
174,Rashid Mehmood,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
175,Mr. Zaheer ul Hussain Sani,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
176,Muhammad Umair Naru,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
177,Uzair Iqbal Janjua,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
178,Basharat Mahmood,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
179,Asif Muhammad Malik,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
180,Adeel Javed,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
181,Mr.Tehseen Riaz Abbasi,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
182,Hasham Ali,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
183,Saadia Aziz,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
184,Ashfaq Hussain Farooqi,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,Computational Intelligence and Network security. ,
185,Ali Zahir,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
186,Afzaal Hassan ,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
187,Khuram Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,MBA,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,2012,"Business Intelligence, Information System Management and E-Commerce.",
188,Zulfiqar Ali,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
189,Waqar Ali Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
190,Sajida Kalsoom,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,"formation security, pattern recognition and computer vision.",
191,Nazia Hameed,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,web development.Her research interest are computer vision and medical image processing. ,
